attribute,term
Колір,Чорний
Колір,Білий
Колір,Молочний
Колір,Кремовий
Колір,Айворі
Колір,Сірий
Колір,Графітовий
Колір,Антрацит
Колір,Меланж
Колір,Синій
Колір,Navy
Колір,Блакитний
Колір,Індиго
Колір,Денім
Колір,Бірюзовий
Колір,Бежевий
Колір,Тауп
Колір,Карамельний
Колір,Кемел
Колір,Коричневий
Колір,Мокко
Колір,Шоколадний
Колір,Зелений
Колір,Хакі
Колір,Олівковий
Колір,Смарагдовий
Колір,Ментоловий
Колір,Червоний
Колір,Бордовий
Колір,Марсала
Колір,Бургунді
Колір,Теракотовий
Колір,Цегляний
Колір,Кораловий
Колір,Оранжевий
Колір,Персиковий
Колір,Рожевий
Колір,Пудровий
Колір,Лавандовий
Колір,Фіолетовий
Колір,Гірчичний
Колір,Жовтий
Колір,Білий з чорним
Колір,Білий з червоним
Колір,Срібний
Матеріал,Бавовна
Матеріал,Льон
Матеріал,Вовна
Матеріал,Шовк
Матеріал,Кашемір
Матеріал,Меринос
Матеріал,Поліестер
Матеріал,Віскоза
Матеріал,Нейлон
Матеріал,Акрил
Матеріал,Еластан
Матеріал,Модал
Матеріал,Джинс
Матеріал,Трикотаж
Матеріал,Шкіра
Матеріал,Екошкіра
Матеріал,Замша
Матеріал,Екозамша
Матеріал,Велюр
Матеріал,Вельвет
Матеріал,Фліс
Матеріал,Сатин
Матеріал,Шифон
Матеріал,Мереживо
Матеріал,Атлас
Матеріал,Твід
Матеріал,Букле
Матеріал,Неопрен
Матеріал,Плащівка
Матеріал,Софтшелл
Матеріал,Шерсть
Матеріал,Костюмна тканина
